Market Sizing Analysis - Faxi,,,,,,,,
Document Version: 1.0,,,,,,,,
Last Updated: November 27 2025,,,,,,,,
,,,,,,,,
TAM (Total Addressable Market),,,,,,,,
Category,Value,% of Total,Data Source,Date,URL,Notes,,
Total Elderly Population (65+),36700000,100.0%,Statistics Bureau of Japan,Oct 2023,https://www.stat.go.jp/english/data/jinsui/index.html,Population Estimates Monthly Report,,
Age 65-74,17900000,48.8%,Statistics Bureau of Japan,Oct 2023,https://www.stat.go.jp/english/data/jinsui/index.html,Younger elderly cohort,,
Age 75+,18800000,51.2%,Statistics Bureau of Japan,Oct 2023,https://www.stat.go.jp/english/data/jinsui/index.html,Older elderly cohort,,
Female,20700000,56.4%,Ministry of Health Labour and Welfare,Jul 2023,https://www.mhlw.go.jp/english/database/db-hw/index.html,Life Expectancy Report,,
Male,16000000,43.6%,Ministry of Health Labour and Welfare,Jul 2023,https://www.mhlw.go.jp/english/database/db-hw/index.html,Life Expectancy Report,,
Urban,25100000,68.4%,Statistics Bureau of Japan,Jun 2021,https://www.stat.go.jp/english/data/kokusei/index.html,Population Census 2020,,
Rural,11600000,31.6%,Statistics Bureau of Japan,Jun 2021,https://www.stat.go.jp/english/data/kokusei/index.html,Population Census 2020,,
,,,,,,,,
TAM Value Calculation,,,,,,,,
Metric,Value,Notes,,,,,
Average Subscription Price (¥/month),1480,Weighted average: 70% Basic (¥980) + 30% Premium (¥1980),,,,
TAM Users,36700000,Total elderly population (65+),,,,,
TAM Monthly Revenue (¥),54316000000,36.7M users × ¥1480/month,,,,,
TAM Annual Revenue (¥),651792000000,Monthly revenue × 12 months,,,,,
TAM Annual Revenue (USD),4345280000,¥651.8B ÷ 150 (exchange rate),,,,,
,,,,,,,,
TAM Growth Projections,,,,,,,,
Year,Elderly Population (65+),% of Total Population,Data Source,,,,,
2024,36700000,29.1%,Statistics Bureau of Japan - Population Projections 2023,,,,,
2030,37800000,30.5%,Statistics Bureau of Japan - Population Projections 2023,,,,,
2042,38900000,33.3%,Statistics Bureau of Japan - Population Projections 2023,,,,,
2050,37200000,35.9%,Statistics Bureau of Japan - Population Projections 2023,,,,,
,,,,,,,,
,,,,,,,,
SAM (Serviceable Addressable Market),,,,,,,,
Constraint Analysis,,,,,,,,
Constraint,Population,% of TAM,% Remaining,Data Source,Date,URL,Notes,
Starting TAM,36700000,100.0%,100.0%,Statistics Bureau of Japan,Oct 2023,https://www.stat.go.jp/english/data/jinsui/index.html,Total elderly population,
Fax-owning households,14200000,38.7%,38.7%,Ministry of Internal Affairs and Communications,Aug 2023,https://www.soumu.go.jp/johotsusintokei/statistics/statistics05.html,38.7% of elderly households,
Regular fax users (weekly+),8600000,23.4%,23.4%,Ministry of Internal Affairs and Communications,Aug 2023,https://www.soumu.go.jp/johotsusintokei/statistics/statistics05.html,23.4% of elderly use fax weekly or more,
Low internet adoption (40.5%),14900000,40.6%,40.6%,Ministry of Internal Affairs and Communications,Aug 2023,https://www.soumu.go.jp/johotsusintokei/statistics/statistics05.html,40.5% have low/no internet usage,
Final SAM (regular fax users),8600000,23.4%,23.4%,Ministry of Internal Affairs and Communications,Aug 2023,https://www.soumu.go.jp/johotsusintokei/statistics/statistics05.html,Conservative: regular fax users as baseline,
,,,,,,,,
SAM Calculation Details,,,,,,,,
Metric,Value,Calculation,Notes,,,,,
Fax-owning households,14200000,36.7M × 0.387,38.7% of elderly households own fax machines,,,,,
Regular fax users,8600000,36.7M × 0.234,23.4% of elderly use fax weekly or more,,,,,
Low internet adoption,14900000,36.7M × 0.405,40.5% have low/no internet usage,,,,,
Target intersection (estimated),6900000,8.6M × 0.80,80% of fax users have low internet adoption,,,,,
Conservative SAM,8600000,Direct count,Use regular fax users as SAM baseline,,,,,
,,,,,,,,
SAM Value Calculation,,,,,,,,
Metric,Value,Notes,,,,,
Average Subscription Price (¥/month),1480,Weighted average: 70% Basic + 30% Premium,,,,,
SAM Users,8600000,Regular fax users,,,,,
SAM Monthly Revenue (¥),12728000000,8.6M users × ¥1480/month,,,,,
SAM Annual Revenue (¥),152736000000,Monthly revenue × 12 months,,,,,
SAM Annual Revenue (USD),1018240000,¥152.7B ÷ 150 (exchange rate),,,,,
SAM as % of TAM,23.4%,8.6M / 36.7M,,,,,
,,,,,,,,
SAM Validation,,,,,,,,
Check,Result,Status,,,,,
SAM ≤ TAM,8600000 ≤ 36700000,✓ PASS,,,,,
SAM as % of TAM,23.4%,✓ PASS (reasonable constraint),,,,,
Data sources credible,All government agencies,✓ PASS,,,,,
,,,,,,,,
,,,,,,,,
SOM (Serviceable Obtainable Market),,,,,,,,
Year 1 SOM Calculation,,,,,,,,
Factor,Value,Impact,Notes,,,,,
SAM baseline,8600000,100.0%,Regular fax users,,,,,
Geographic focus (Tokyo/Osaka/Nagoya),1980000,23.0%,Top 3 metro areas: 23% of elderly,,,,,
Realistic penetration rate,0.5%,0.5%,Conservative Year 1 estimate,,,,,
Year 1 SOM,43000,0.5%,8.6M × 0.005,,,,,
,,,,,,,,
SOM Projections by Year,,,,,,,,
Year,SOM Users,% of SAM,% of TAM,Growth Rate,Monthly Revenue (¥),Annual Revenue (¥),Annual Revenue (USD),Notes
1,43000,0.5%,0.12%,-,63640000,763680000,5091200,Urban pilot launch
2,129000,1.5%,0.35%,200%,190920000,2291040000,15273600,Proven model expansion
3,258000,3.0%,0.70%,100%,381840000,4582080000,30547200,Nationwide coverage
4,430000,5.0%,1.17%,67%,636400000,7636800000,50912000,Market penetration
