Revenue Model Analysis - Faxi,,,,,,,,
Document Version: 1.0,,,,,,,,
Last Updated: November 27 2024,,,,,,,,
,,,,,,,,
B2C: Elder User Subscriptions,,,,,,,,
Pricing Tier,Monthly Price (¥),Features,Target % of Users,,,,,
Basic,980,"Unlimited fax processing, Email bridge, Basic shopping, AI chat (limited)",70%,,,,,
Premium,1980,"All Basic + Priority processing, Advanced shopping, Unlimited AI chat, Premium support",30%,,,,,
,,,,,,,,
B2C Assumptions,,,,,,,,
Metric,Value,Notes,Data Source,,,,,
Conversion Rate (Trial to Paid),25%,Industry standard for elderly services,SaaS industry benchmarks,,,,,
Monthly Churn Rate (Year 1),5%,High due to trial period and adoption challenges,Elderly service benchmarks,,,,,
Monthly Churn Rate (Year 2),4%,Improved retention with proven value,Elderly service benchmarks,,,,,
Monthly Churn Rate (Year 3+),3%,Mature product with strong retention,Elderly service benchmarks,,,,,
Average Revenue Per User (ARPU),¥1480,"(¥980 × 0.70) + (¥1,980 × 0.30)",Calculation,,,,,
Customer Lifetime (Months) - Year 1,20,1 / 0.05 monthly churn,Calculation,,,,,
Customer Lifetime (Months) - Year 3,25,1 / 0.04 monthly churn,Calculation,,,,,
Customer Lifetime Value (LTV) - Year 1,¥29600,¥1480 × 20 months,Calculation,,,,,
Customer Lifetime Value (LTV) - Year 3,¥37000,¥1480 × 25 months,Calculation,,,,,
Customer Acquisition Cost (CAC),¥15000,Family referrals + healthcare partnerships + direct marketing,Estimate,,,,,
LTV:CAC Ratio - Year 1,1.97,¥29600 / ¥15000,Calculation,,,,,
LTV:CAC Ratio - Year 3,2.47,¥37000 / ¥15000,Calculation,,,,,
,,,,,,,,
CAC Breakdown,,,,,,,,
Component,Cost per Customer,% of Total,,,,,
Marketing spend,¥8000,53%,,,,,
Sales/partnership costs,¥4000,27%,,,,,
Onboarding support,¥3000,20%,,,,,
Total CAC,¥15000,100%,,,,,
,,,,,,,,
CAC by Channel,,,,,,,,
Channel,CAC,% of Customers,Weighted CAC,,,,,
Family referrals,¥10000,40%,¥4000,,,,,
